RMSE,MAPE,Model_Type,Dataset_Type,Research_Group,Temporal_Resolution,MAPE
0.15,0.15,LSTM,NREL,Group 2,Hourly,
0.256,0.01,GPR,Utility,Group 3,Hourly,
0.07,0.03,BPNN,Maui,Group 5,Minute,
1.51,0.26,Sequence-to-Sequence,Simulation,Group 6,Minute,
0.08,0.15,BSTS,Utility,Group 7,Minute,
0.0822,0.04,Random Forest,Utility,Group 8,Minute,
0.31,0.17,SVR,Utility,Group 9,Hourly,
0.0649,0.28,Physical PV Model,Utility,Group 9,Minute,
0.0337,0.09,Probabilistic Model,Utility,Group 9,Daily,
0.09,0.04,ANN,Utility,Group 10,Daily,
0.089,0.23,Physical PV Model,Utility,Group 11,Daily,
0.02,0.25,CSSS,Utility,Group 12,Minute,
0.035,0.05,Probabilistic Model,Utility,Group 9,Daily,
0.48,0.31,Physical PV Model,Utility,Group 7,Minute,
0.41,0.05,STGNN,Maui,Group 5,Daily,
0.042,0.04,BPNN and CNN,Simulation,Group 13,Hourly,
0.1,0.06,Physical PV Model,Utility,Group 7,Minute,
0.048,0.05,BPNN and CNN,NREL,Group 9,Minute,
0.819,0.2,LSTM,Utility,Group 14,Minute,
0.5,0.15,CSSS,Utility,Group 12,Daily,
0.05,0.02,DNN,Korean Power,Group 15,Daily,
0.11,0.09,ANN,Utility,Group 16,Daily,
0.152,0.12,FL-FTransformer,Utility,Group 17,Daily,
0.1036,0.12,BPNN and CNN,Simulation,Group 18,Hourly,
0.43,0.15,BNN,NREL,Group 19,Daily,
0.4754,0.39,Physical PV Model,Utility,Group 9,Hourly,
0.3357,0.02,XGBoost,Korean Power,Group 20,Daily,
